national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description
409,IV,Rampardos,Rampald,rock,,Head Butt Pokémon,88.1,11.9,1.6,102.5,45,7680,97,165,60,65,50,58,Mold Breaker,,,Sheer Force,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Cranidos,Level ,Rampardos,,,,,,,,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets."
410,IV,Shieldon,Tatetops,rock,steel,Shield Pokémon,88.1,11.9,0.5,57,45,7680,30,42,118,42,88,30,Sturdy,,,Soundproof,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0,0,0,Shieldon,Level ,Bastiodon,,,,,,,,"A mild-mannered, herbivorous Pokémon, it used its face to dig up tree roots to eat. The skin on its face was plenty tough."
411,IV,Bastiodon,Torideps,rock,steel,Shield Pokémon,88.1,11.9,1.3,149.5,45,7680,60,52,168,47,138,30,Sturdy,,,Soundproof,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0,0,0,Shieldon,Level ,Bastiodon,,,,,,,,"The bones of its face are huge and hard, so they were mistaken for its spine until after this Pokémon was successfully restored."
412,IV,Burmy,Minomucchi,bug,,Bagworm Pokémon,50,50,0.2,3.4,120,3840,40,29,45,29,45,36,Shed Skin,,,Overcoat,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Burmy,Female at Level,Wormadam,Male at Level,Mothim,,,,,,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
413,IV,Wormadam,Minomadam,bug,grass,Bagworm Pokémon,0,100,0.5,6.5,45,3840,60,59,85,79,105,36,Anticipation,,,Overcoat,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,0,0,Burmy,Female at Level,Wormadam,Male at Level,Mothim,,,,,,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.
414,IV,Mothim,Gamale,bug,flying,Moth Pokémon,100,0,0.9,23.3,45,3840,70,94,50,94,50,66,Swarm,,,Tinted Lens,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Burmy,Female at Level,Wormadam,Male at Level,Mothim,,,,,,It loves the honey of flowers and steals honey collected by Combee.
415,IV,Combee,Mitsuhoney,bug,flying,Tiny Bee Pokémon,88.14,11.86,0.3,5.5,120,3840,30,30,42,30,42,70,Honey Gather,,,Hustle,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Combee,Female at Level ,Vespiquen,,,,,,,,The members of the trio spend all their time together. Each one has a slightly different taste in nectar.
416,IV,Vespiquen,Beequen,bug,flying,Beehive Pokémon,0,100,1.2,38.5,45,3840,70,80,102,80,102,40,Pressure,,,Unnerve,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Combee,Female at Level ,Vespiquen,,,,,,,,It skillfully commands its grubs in battles with its enemies. The grubs are willing to risk their lives to defend Vespiquen.
417,IV,Pachirisu,Pachirisu,electric,,EleSquirrel Pokémon,50,50,0.4,3.9,200,2560,60,45,70,45,90,95,Run Away,Pickup,,Volt Absorb,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Pachirisu,,,,,,,,,,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
418,IV,Buizel,Buoysel,water,,Sea Weasel Pokémon,50,50,0.7,29.5,190,5120,55,65,35,60,30,85,Swift Swim,,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Buizel,Level ,Floatzel,,,,,,,,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses."
419,IV,Floatzel,Floazel,water,,Sea Weasel Pokémon,50,50,1.1,33.5,75,5120,85,105,55,85,50,115,Swift Swim,,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Buizel,Level ,Floatzel,,,,,,,,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
420,IV,Cherubi,Cherinbo,grass,,Cherry Pokémon,50.2,49.8,0.4,3.3,190,5120,45,35,45,62,53,35,Chlorophyll,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Cherubi,Level ,Cherrim,,,,,,,,"It nimbly dashes about to avoid getting pecked by bird Pokémon that would love to make off with its small, nutrient-rich storage ball."
421,IV,Cherrim,Cherrim,grass,,Blossom Pokémon,50.2,49.8,0.5,9.3,75,5120,70,60,70,87,78,85,Flower Gift,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Cherubi,Level ,Cherrim,,,,,,,,"As a bud, it barely moves. It sits still, placidly waiting for sunlight to appear."
422,IV,Shellos,Karanakushi,water,,Sea Slug Pokémon,50.2,49.8,0.3,6.3,190,5120,76,48,48,57,62,34,Sticky Hold,Storm Drain,,Sand Force,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Shellos,Level ,Gastrodon,,,,,,,,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop."
423,IV,Gastrodon,Tritodon,water,ground,Sea Slug Pokémon,50.2,49.8,0.9,29.9,75,5120,111,83,68,92,82,39,Sticky Hold,Storm Drain,,Sand Force,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Shellos,Level ,Gastrodon,,,,,,,,"Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through."
424,IV,Ambipom,Eteboth,normal,,Long Tail Pokémon,50,50,1.2,20.3,45,5120,75,100,66,60,66,115,Technician,Pickup,,Skill Link,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Aipom,Level up while knowing  Double Hit,Ambipom,,,,,,,,"In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time."
425,IV,Drifloon,Fuwante,ghost,flying,Balloon Pokémon,50.2,49.8,0.4,1.2,125,7680,90,50,34,60,44,70,Aftermath,Unburden,,Flare Boost,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1,0,0,0,Drifloon,Level ,Drifblim,,,,,,,,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it."
426,IV,Drifblim,Fuwaride,ghost,flying,Blimp Pokémon,50.2,49.8,1.2,15,60,7680,150,80,44,90,54,80,Aftermath,Unburden,,Flare Boost,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1,0,0,0,Drifloon,Level ,Drifblim,,,,,,,,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk."
427,IV,Buneary,Mimirol,normal,,Rabbit Pokémon,50.2,49.8,0.4,5.5,190,5120,55,66,44,44,56,85,Run Away,Klutz,,Limber,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Buneary,Level Up with Happiness Value at 220,Lopunny,,,,,,,,"If both of Buneary’s ears are rolled up, something is wrong with its body or mind. It’s a sure sign the Pokémon is in need of care."
428,IV,Lopunny,Mimilop,normal,,Rabbit Pokémon,50.2,49.8,1.2,33.3,60,5120,65,76,84,54,96,105,Cute Charm,Klutz,,Limber,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Buneary,Level Up with Happiness Value at 220,Lopunny,,,,,,Mega Lopunny,,"Lopunny is constantly monitoring its surroundings. If danger approaches, this Pokémon responds with superdestructive kicks."
429,IV,Mismagius,Mumargi,ghost,,Magical Pokémon,50,50,0.9,4.4,45,6400,60,60,60,105,105,105,Levitate,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Misdreavus,Use Dusk Stone,Mismagius,,,,,,,,"Feared for its wrath and the curses it spreads, this Pokémon will also, on a whim, cast spells that help people."
430,IV,Honchkrow,Dongkarasu,dark,flying,Big Boss Pokémon,50,50,0.9,27.3,30,5120,100,125,52,105,52,71,Insomnia,Super Luck,,Moxie,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0,0,0,Murkrow,Use Dusk Stone,Honchkrow,,,,,,,,It will absolutely not forgive failure from or betrayal by its goons. It has no choice in this if it wants to maintain the order of the flock.
431,IV,Glameow,Nyarmar,normal,,Catty Pokémon,24.6,75.4,0.5,3.9,190,5120,49,55,42,42,37,85,Limber,Own Tempo,,Keen Eye,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Glameow,Level ,Purugly,,,,,,,,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
432,IV,Purugly,Bunyatto,normal,,Tiger Cat Pokémon,24.6,75.4,1,43.8,75,5120,71,82,64,64,59,112,Thick Fat,Own Tempo,,Defiant,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Glameow,Level ,Purugly,,,,,,,,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
433,IV,Chingling,Lisyan,psychic,,Bell Pokémon,50,50,0.2,0.6,120,6400,45,30,50,65,50,45,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Chingling,Level Up with Happiness Value at 220 During the Night,Chimecho,,,,,,,,"Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries."
434,IV,Stunky,Skunpuu,poison,dark,Skunk Pokémon,50.2,49.8,0.4,19.2,225,5120,63,63,47,41,41,74,Stench,Aftermath,,Keen Eye,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0,0,0,Stunky,Level ,Skuntank,,,,,,,,"From its rear, it sprays a foul-smelling liquid at opponents. It aims for their faces, and it can hit them from over 16 feet away."
435,IV,Skuntank,Skutank,poison,dark,Skunk Pokémon,50.2,49.8,1,38,60,5120,103,93,67,71,61,84,Stench,Aftermath,,Keen Eye,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0,0,0,Stunky,Level ,Skuntank,,,,,,,,"In its belly, it reserves stinky fluid that it shoots from its tail during battle. As this Pokémon’s diet varies, so does the stench of its fluid."
436,IV,Bronzor,Dohmirror,steel,psychic,Bronze Pokémon,,,0.5,60.5,255,5120,57,24,86,24,86,23,Levitate,Heatproof,,Heavy Metal,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,0,0,0,Bronzor,Level ,Bronzong,,,,,,,,"It appears in ancient ruins. The pattern on its body doesn’t come from any culture in the Galar region, so it remains shrouded in mystery."
437,IV,Bronzong,Dohtakun,steel,psychic,Bronze Bell Pokémon,,,1.3,187,90,5120,67,89,116,79,116,33,Levitate,Heatproof,,Heavy Metal,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,0,0,0,Bronzor,Level ,Bronzong,,,,,,,,"Some believe it to be a deity that summons rain clouds. When angered, it lets out a warning cry that rings out like the tolling of a bell."
438,IV,Bonsly,Usohachi,rock,,Bonsai Pokémon,50.2,49.8,0.5,15,255,5120,50,80,95,10,45,10,Sturdy,Rock Head,,Rattled,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Bonsly,Level up while knowing  Mimic,Sudowoodo,,,,,,,,"It expels both sweat and tears from its eyes. The sweat is a little salty, while the tears have a slight bitterness."
439,IV,Mime Jr.,Manene,psychic,fairy,Mime Pokémon,50.2,49.8,0.6,13,145,6400,20,25,45,70,90,60,Soundproof,Filter,,Technician,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0,0,0,Mime Jr.,Level up while knowing  Mimic,Mr. Mime,,,,,,,,"It mimics everyone it sees, but it puts extra effort into copying the graceful dance steps of Mr. Rime as practice."
440,IV,Happiny,Pinpuku,normal,,Playhouse Pokémon,0,100,0.6,24.4,130,10240,100,5,5,15,65,30,Natural Cure,Serene Grace,,Friend Guard,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,,,,"Mimicking Chansey, Happiny will place an egg- shaped stone in its belly pouch. Happiny will treasure this stone."
441,IV,Chatot,Perap,normal,flying,Music Note Pokémon,50,50,0.5,1.9,30,5120,76,65,45,92,42,91,Keen Eye,Tangled Feet,,Big Pecks,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Chatot,,,,,,,,,,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
442,IV,Spiritomb,Mikaruge,ghost,dark,Forbidden Pokémon,50.2,49.8,1,108,100,7680,50,92,108,92,108,35,Pressure,,,Infiltrator,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,0,0,0,Spiritomb,,,,,,,,,,Exactly 108 spirits gathered to become this Pokémon. Apparently there are some ill-natured spirits in the mix.
443,IV,Gible,Fukamaru,dragon,ground,Land Shark Pokémon,50.2,49.8,0.7,20.5,45,10240,58,70,45,40,45,42,Sand Veil,,,Rough Skin,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Gible,Level ,Gabite,Level ,Garchomp,,,,,,"Gible prefers to stay in narrow holes in the sides of caves heated by geothermal energy. This way, Gible can stay warm even during a blizzard."
444,IV,Gabite,Gabite,dragon,ground,Cave Pokémon,50.2,49.8,1.4,56,45,10240,68,90,65,50,55,82,Sand Veil,,,Rough Skin,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Gible,Level ,Gabite,Level ,Garchomp,,,,,,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.
445,IV,Garchomp,Gaburias,dragon,ground,Mach Pokémon,50.2,49.8,1.9,95,45,10240,108,130,95,80,85,102,Sand Veil,,,Rough Skin,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Gible,Level ,Gabite,Level ,Garchomp,,,,Mega Garchomp,,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can."
446,IV,Munchlax,Gonbe,normal,,Big Eater Pokémon,88.14,11.86,0.6,105,50,10240,135,85,40,40,85,5,Pickup,Thick Fat,,Gluttony,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Munchlax,Level Up with Happiness Value at 220,Snorlax,,,,,,,,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care."
447,IV,Riolu,Riolu,fighting,,Emanation Pokémon,88.14,11.86,0.7,20.2,75,6400,40,70,40,35,40,60,Steadfast,Inner Focus,,Prankster,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Riolu,Level Up with Happiness Value at 220 During the Day,Lucario,,,,,,,,"It’s exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience."
448,IV,Lucario,Lucario,fighting,steel,Aura Pokémon,88.14,11.86,1.2,54,45,6400,70,110,70,115,70,90,Steadfast,Inner Focus,,Justified,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1,0,0,0,Riolu,Level Up with Happiness Value at 220 During the Day,Lucario,,,,,,Mega Lucario,,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey."
449,IV,Hippopotas,Hippopotas,ground,,Hippo Pokémon,50.2,49.8,0.8,49.5,140,7680,68,72,78,38,42,32,Sand Stream,,,Sand Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Hippopotas,Level ,Hippowdon,,,,,,,,"It moves through the sands with its mouth open, swallowing sand along with its prey. It gets rid of the sand by spouting it from its nose."
450,IV,Hippowdon,Kabaldon,ground,,Heavyweight Pokémon,50.2,49.8,2,300,60,7680,108,112,118,68,72,47,Sand Stream,,,Sand Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Hippopotas,Level ,Hippowdon,,,,,,,,"Stones can get stuck in the ports on their bodies. Dwebble help dislodge such stones, so Hippowdon look after these Pokémon."
451,IV,Skorupi,Scorupi,poison,bug,Scorpion Pokémon,50.2,49.8,0.8,12,120,5120,40,50,90,30,55,65,Battle Armor,Sniper,,Keen Eye,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Skorupi,Level ,Drapion,,,,,,,,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent."
452,IV,Drapion,Dorapion,poison,dark,Ogre Scorp Pokémon,50.2,49.8,1.3,61.5,45,5120,70,90,110,60,75,95,Battle Armor,Sniper,,Keen Eye,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0,0,0,Skorupi,Level ,Drapion,,,,,,,,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength."
453,IV,Croagunk,Gureggru,poison,fighting,Toxic Mouth Pokémon,50.2,49.8,0.7,23,140,2560,48,61,40,61,40,50,Anticipation,Dry Skin,,Poison Touch,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0,0,0,Croagunk,Level ,Toxicroak,,,,,,,,"It makes frightening noises with its poison-filled cheek sacs. When opponents flinch, Croagunk hits them with a poison jab."
454,IV,Toxicroak,Dokurog,poison,fighting,Toxic Mouth Pokémon,50.2,49.8,1.3,44.4,75,5120,83,106,65,86,65,85,Anticipation,Dry Skin,,Poison Touch,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0,0,0,Croagunk,Level ,Toxicroak,,,,,,,,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.
455,IV,Carnivine,Muskippa,grass,,Bug Catcher Pokémon,50,50,1.4,27,200,6400,74,100,72,90,72,46,Levitate,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Carnivine,,,,,,,,,,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey."
456,IV,Finneon,Keikouo,water,,Wing Fish Pokémon,50,50,0.4,7,190,5120,49,49,56,49,61,66,Swift Swim,Storm Drain,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Finneon,Level ,Lumineon,,,,,,,,"When night falls, their pink patterns begin to shine. They’re popular with divers, so there are resorts that feed them to keep them close."
457,IV,Lumineon,Neolant,water,,Neon Pokémon,50,50,1.2,24,75,5120,69,69,76,69,86,91,Swift Swim,Storm Drain,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Finneon,Level ,Lumineon,,,,,,,,"Deep down at the bottom of the ocean, prey is scarce. Lumineon get into fierce disputes with Lanturn over food."
458,IV,Mantyke,Tamanta,water,flying,Kite Pokémon,50.2,49.8,1,65,25,6400,45,20,50,60,120,50,Swift Swim,Water Absorb,,Water Veil,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0,0,0,Mantyke,Level up with Remoraid in the party,Mantine,,,,,,,,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.
459,IV,Snover,Yukikaburi,grass,ice,Frosted Tree Pokémon,50.2,49.8,1,50.5,120,5120,60,62,50,62,60,40,Snow Warning,,,Soundproof,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1,0,0,0,Snover,Level ,Abomasnow,,,,,,,,It lives on snowy mountains. It sinks its legs into the snow to absorb water and keep its own temperature down.
460,IV,Abomasnow,Yukinooh,grass,ice,Frosted Tree Pokémon,50.2,49.8,2.2,135.5,60,5120,90,92,75,92,85,60,Snow Warning,,,Soundproof,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1,0,0,0,Snover,Level ,Abomasnow,,,,,,Mega Abomasnow,,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers."
461,IV,Weavile,Manyula,dark,ice,Sharp Claw Pokémon,50.2,49.8,1.1,34,45,5120,70,120,65,45,85,125,Pressure,,,Pickpocket,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0,0,0,Sneasel,Level up during the night while holding  Razor Claw,Weavile,,,,,,,,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.
462,IV,Magnezone,Jibacoil,electric,steel,Magnet Area Pokémon,,,1.2,180,30,5120,70,70,115,130,90,60,Magnet Pull,Sturdy,,Analytic,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0,0,0,Magnemite,Level ,Magneton,Use Thunder Stone,Magnezone,,,,,,Some say that Magnezone receives signals from space via the antenna on its head and that it’s being controlled by some mysterious being.
463,IV,Lickilicky,Berobelt,normal,,Licking Pokémon,50.2,49.8,1.7,140,30,5120,110,85,95,80,95,50,Own Tempo,Oblivious,,Cloud Nine,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Lickitung,Level up while knowing  Rollout,Lickilicky,,,,,,,,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.
464,IV,Rhyperior,Dosidon,ground,rock,Drill Pokémon,50.2,49.8,2.4,282.8,30,5120,115,140,130,55,55,40,Lightning Rod,Solid Rock,,Reckless,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,0,0,Rhyhorn,Level ,Rhydon,Trade with  Protector,Rhyperior,,,,,,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.
465,IV,Tangrowth,Mojumbo,grass,,Vine Pokémon,50.2,49.8,2,128.6,30,5120,100,100,125,110,50,50,Chlorophyll,Leaf Guard,,Regenerator,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Tangela,Level up while knowing  Ancient Power,Tangrowth,,,,,,,,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines."
466,IV,Electivire,Elekible,electric,,Thunderbolt Pokémon,75.49,24.51,1.8,138.6,30,6400,75,123,67,95,85,95,Motor Drive,,,Vital Spirit,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,,,,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.
467,IV,Magmortar,Booburn,fire,,Blast Pokémon,75.49,24.51,1.6,68,30,6400,75,95,67,125,95,83,Flame Body,,,Vital Spirit,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,,,,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit."
468,IV,Togekiss,Togekiss,fairy,flying,Jubilee Pokémon,88.14,11.86,1.5,38,30,2560,85,50,95,120,115,80,Hustle,Serene Grace,,Super Luck,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,0,0,0,Togepi,Level Up with Happiness Value at 220,Togetic,Use Shiny Stone,Togekiss,,,,,,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all."
469,IV,Yanmega,Megayanma,bug,flying,Ogre Darner Pokémon,50,50,1.9,51.5,30,5120,86,76,86,116,56,95,Speed Boost,Tinted Lens,,Frisk,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Yanma,Level up while knowing  Ancient Power,Yanmega,,,,,,,,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.
470,IV,Leafeon,Leafia,grass,,Verdant Pokémon,88.14,11.86,1,25.5,45,8960,65,110,130,60,65,95,Leaf Guard,,,Chlorophyll,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Eevee,,,,,,,,,,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.
471,IV,Glaceon,Glacia,ice,,Fresh Snow Pokémon,88.14,11.86,0.8,25.9,45,8960,65,60,110,130,95,65,Snow Cloak,,,Ice Body,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,0,0,0,Eevee,,,,,,,,,,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.
472,IV,Gliscor,Glion,ground,flying,Fang Scorp Pokémon,50,50,2,42.5,30,5120,75,95,125,45,75,95,Hyper Cutter,Sand Veil,,Poison Heal,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,0,0,0,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,,,,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!"
473,IV,Mamoswine,Mammoo,ice,ground,Twin Tusk Pokémon,50.2,49.8,2.5,291,50,5120,110,130,80,70,60,80,Oblivious,Snow Cloak,,Thick Fat,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,,,,,,,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct."
474,IV,Porygon-Z,Porygon-z,normal,,Virtual Pokémon,,,0.9,34,30,5120,85,80,70,135,75,90,Adaptability,Download,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,,,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior."
475,IV,Gallade,Erureido,psychic,fighting,Blade Pokémon,100,0,1.6,52,45,5120,68,125,65,65,115,80,Steadfast,,,Justified,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,0,0,0,Ralts,Level,Kirlia,"On Male Pokémon, use Dawn Stone",Gallade,,,,Mega Gallade,,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone."
476,IV,Probopass,Dainose,rock,steel,Compass Pokémon,50,50,1.4,340,60,5120,60,55,145,75,150,40,Sturdy,Magnet Pull,,Sand Force,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0,0,0,Nosepass,Level up while at Blush Mountain/Vast Poni Canyon,Probopass,,,,,,,,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back."
